Title,Price,Original Price,Price Excl. VAT,Reference Price,Reference Currency,Displayed Currency,Price Type,HP,Year,Working Hours,Location,Dealer,Phone Numbers,Image URL,Details,Detail URL,Description
Fordson Major Dexta,,,,,,,,,,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/1939794/45084838/45084838_1723198554_221.jpg?index,Model :: Dexta; Wear of front tires :: N/A; Period of availability of spare parts :: N/A; Make :: Fordson Major; Type of ad :: For sale / Offers; Reference :: 20192; Status :: Used - good condition; Wear of rear tires :: N/A; Category :: Farm Tractors; ,https://www.agriaffaires.co.uk/used/farm-tractor/45084838/fordson-major-dexta.html,
Fordson Major SUPER MAJOR,,,,,,,,,,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/1939794/45081447/45081447_1723121331_477.jpg?index,Make :: Fordson Major; Status :: Used - good condition; Wear of front tires :: N/A; Category :: Farm Tractors; Reference :: 15109z; Wear of rear tires :: N/A; Period of availability of spare parts :: N/A; Type of ad :: For sale / Offers; Model :: SUPER MAJOR; ,https://www.agriaffaires.co.uk/used/farm-tractor/45081447/fordson-major-super-major.html,
Fordson Major SUPER MAJOR,"2,858",,,2858,EUR,€,,,,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/1939794/45182593/45182593_1726232968_574.jpg?index,"Period of availability of spare parts :: N/A; Category :: Farm Tractors; Type of ad :: For sale / Offers; Make :: Fordson Major; Status :: Used - good condition; Wear of rear tires :: N/A; Reference :: 18677; Model :: SUPER MAJOR; Wear of front tires :: N/A; Price excl. VAT :: 2,500
                            
            £

                            
                                    
                        ARS                    
                                    
                        AUD                    
                                    
                        BGN                    
                                    
                        BRL (R$)                    
                                    
                        CAD                    
                                    
                        CHF                    
                                    
                        CNY (¥)                    
                                    
                        CYP                    
                                    
                        CZK (Kč)                    
                                    
                        DKK                    
                                    
                        EEK                    
                                    
                        EUR (€)                    
                                    
                        GBP (£)                    
                                    
                        HKD                    
                                    
                        HRK                    
                                    
                        HUF                    
                                    
                        IDR                    
                                    
                        INR                    
                                    
                        ISK                    
                                    
                        JPY (¥)                    
                                    
                        KRW                    
                                    
                        LTL                    
                                    
                        LVL                    
                                    
                        MTL                    
                                    
                        MYR                    
                                    
                        NOK                    
                                    
                        NZD                    
                                    
                        PHP                    
                                    
                        PLN (zł)                    
                                    
                        RON (Lei)                    
                                    
                        RSD                    
                                    
                        RUB (p.)                    
                                    
                        SEK (kr)                    
                                    
                        SGD                    
                                    
                        SKK                    
                                    
                        THB                    
                                    
                        TRY                    
                                    
                        UAH                    
                                    
                        USD ($)                    
                                    
                        ZAR                    
                                
                                        
                    
                        Observe prices; ",https://www.agriaffaires.co.uk/used/farm-tractor/45182593/fordson-major-super-major.html,
Fordson Major SUPER MAJOR,"5,144",,,5144,EUR,€,,,,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/1569156/45143746/45143746_1725357002_628.jpg?index,"Wear of front tires :: 65%; Wear of rear tires :: 60%; Price excl. VAT :: 4,500
                            
            £

                            
                                    
                        ARS                    
                                    
                        AUD                    
                                    
                        BGN                    
                                    
                        BRL (R$)                    
                                    
                        CAD                    
                                    
                        CHF                    
                                    
                        CNY (¥)                    
                                    
                        CYP                    
                                    
                        CZK (Kč)                    
                                    
                        DKK                    
                                    
                        EEK                    
                                    
                        EUR (€)                    
                                    
                        GBP (£)                    
                                    
                        HKD                    
                                    
                        HRK                    
                                    
                        HUF                    
                                    
                        IDR                    
                                    
                        INR                    
                                    
                        ISK                    
                                    
                        JPY (¥)                    
                                    
                        KRW                    
                                    
                        LTL                    
                                    
                        LVL                    
                                    
                        MTL                    
                                    
                        MYR                    
                                    
                        NOK                    
                                    
                        NZD                    
                                    
                        PHP                    
                                    
                        PLN (zł)                    
                                    
                        RON (Lei)                    
                                    
                        RSD                    
                                    
                        RUB (p.)                    
                                    
                        SEK (kr)                    
                                    
                        SGD                    
                                    
                        SKK                    
                                    
                        THB                    
                                    
                        TRY                    
                                    
                        UAH                    
                                    
                        USD ($)                    
                                    
                        ZAR                    
                                
                                        
                    
                        Observe prices; Comments :
                                                
                            FORDSON SUPER MAJOR

YEAR 1963

V5 PRESENT

ONE OWNER

SHOWING 2632 HOURS

LAMBOURN CAB

MIL TRIP FRONT LOADER

VERY ORIGIONAL TRACTOR

MECHANICALLY SOUND: Comments :
                                                
                            FORDSON SUPER MAJOR

YEAR 1963

V5 PRESENT

ONE OWNER

SHOWING 2632 HOURS

LAMBOURN CAB

MIL TRIP FRONT LOADER

VERY ORIGIONAL TRACTOR

MECHANICALLY SOUND; Category :: Farm Tractors; Type of ad :: For sale / Offers; Status :: Used - very good condition; Year :: 1963; Reference :: FORDSON SUPER MAJOR; Make :: Fordson Major; Model :: SUPER MAJOR; Period of availability of spare parts :: N/A; ",https://www.agriaffaires.co.uk/used/farm-tractor/45143746/fordson-major-super-major.html,
Fordson Major Dexta,,,,,,,,,,"2,663
                                                                                                    h",,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/452897/42881320/42881320_1661322783_884.jpg?index,"Dimension of front tires :: 12.4/28; Make :: Fordson Major; Hours :: 2,663
                                    h; Status :: Used - very good condition; Wear of front tires :: N/A; Dimension of rear tires :: 600/16; Wear of rear tires :: N/A; Comments :
                                                
                            2WD, 3 cylinder diesel, lights, very nice original tractor, £POA
Gear :: Comments :
                                                
                            2WD, 3 cylinder diesel, lights, very nice original tractor, £POA
Gear :; Category :: Farm Tractors; Type of ad :: For sale / Offers; Year :: 1964; Power :: 0
                                    hp; First-hand :: No; Period of availability of spare parts :: N/A; Reference :: 94590; Model :: Dexta; ",https://www.agriaffaires.co.uk/used/farm-tractor/42881320/fordson-major-dexta.html,
Fordson Major Major Billig diesel Traktor med frontlæsser,"1,676",,,1676,EUR,€,,,,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/202087/45008494/45008494_1720872333_600.jpg?index,"Comments :
                                                
                            Fordson Major diesel traktor som har frontlæsser med skovl træk og slip.
Den har 6.0 - 19 og 12.4-36 dæk montering på.
Vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte. Se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us, then you can see the machine physically for yourself. If you wish, we will be happy to send a lot of pictures and video of it on Wats-App or email: Comments :
                                                
                            Fordson Major diesel traktor som har frontlæsser med skovl træk og slip.
Den har 6.0 - 19 og 12.4-36 dæk montering på.
Vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte. Se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us, then you can see the machine physically for yourself. If you wish, we will be happy to send a lot of pictures and video of it on Wats-App or email; Category :: Farm Tractors; Type of ad :: For sale / Offers; Wear of front tires :: 50%; Period of availability of spare parts :: N/A; Price excl. VAT :: £

                            
                                    
                        ARS                    
                                    
                        AUD                    
                                    
                        BGN                    
                                    
                        BRL (R$)                    
                                    
                        CAD                    
                                    
                        CHF                    
                                    
                        CNY (¥)                    
                                    
                        CYP                    
                                    
                        CZK (Kč)                    
                                    
                        DKK                    
                                    
                        EEK                    
                                    
                        EUR (€)                    
                                    
                        GBP (£)                    
                                    
                        HKD                    
                                    
                        HRK                    
                                    
                        HUF                    
                                    
                        IDR                    
                                    
                        INR                    
                                    
                        ISK                    
                                    
                        JPY (¥)                    
                                    
                        KRW                    
                                    
                        LTL                    
                                    
                        LVL                    
                                    
                        MTL                    
                                    
                        MYR                    
                                    
                        NOK                    
                                    
                        NZD                    
                                    
                        PHP                    
                                    
                        PLN (zł)                    
                                    
                        RON (Lei)                    
                                    
                        RSD                    
                                    
                        RUB (p.)                    
                                    
                        SEK (kr)                    
                                    
                        SGD                    
                                    
                        SKK                    
                                    
                        THB                    
                                    
                        TRY                    
                                    
                        UAH                    
                                    
                        USD ($)                    
                                    
                        ZAR                    
                                
                                        
                    
                        Observe prices; Wear of rear tires :: 60%; Reference :: 8709074B; Make :: Fordson Major; Model :: Major Billig diesel Traktor med frontlæsser; Status :: Used - Not indicated; Dimension of front tires :: 12.4-36 bagdæk og 6.0 - 19 i for; ",https://www.agriaffaires.co.uk/used/farm-tractor/45008494/fordson-major-major-billig-diesel-traktor-med-frontl-sser.html,
Fordson Major  N model,"4,665",,,4665,EUR,€,,,,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/202087/44158741/44158741_1697772742_747.jpg?index,"Category :: Farm Tractors; Type of ad :: For sale / Offers; Wear of front tires :: N/A; Price excl. VAT :: £

                            
                                    
                        ARS                    
                                    
                        AUD                    
                                    
                        BGN                    
                                    
                        BRL (R$)                    
                                    
                        CAD                    
                                    
                        CHF                    
                                    
                        CNY (¥)                    
                                    
                        CYP                    
                                    
                        CZK (Kč)                    
                                    
                        DKK                    
                                    
                        EEK                    
                                    
                        EUR (€)                    
                                    
                        GBP (£)                    
                                    
                        HKD                    
                                    
                        HRK                    
                                    
                        HUF                    
                                    
                        IDR                    
                                    
                        INR                    
                                    
                        ISK                    
                                    
                        JPY (¥)                    
                                    
                        KRW                    
                                    
                        LTL                    
                                    
                        LVL                    
                                    
                        MTL                    
                                    
                        MYR                    
                                    
                        NOK                    
                                    
                        NZD                    
                                    
                        PHP                    
                                    
                        PLN (zł)                    
                                    
                        RON (Lei)                    
                                    
                        RSD                    
                                    
                        RUB (p.)                    
                                    
                        SEK (kr)                    
                                    
                        SGD                    
                                    
                        SKK                    
                                    
                        THB                    
                                    
                        TRY                    
                                    
                        UAH                    
                                    
                        USD ($)                    
                                    
                        ZAR                    
                                
                                        
                    
                        Observe prices; Comments :
                                                
                            Fordson N traktor. Benzin og Petroleum,s traktor. Det er en meget original traktor. Den har 6*19 og 13-24 dæk montering på. Vi har ikke haft den startet op, men da den blev sat ind gik den godt, og den skulle efter udsagn fra musseret sidst ha været i gang i 2021. Vi har købt 4stk Ford og Fordson,er traktorer samlet fra Damgaard Mølle og Veterantraktorsamling. Det kan ses på de sidste 2 billeder hvor vi afhændede dem på Møllen. Vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte. Se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us, then you can see the machine physically for yourself. If you wish, we will be happy to send a lot of pictures and video of it on Wats-App or email: Comments :
                                                
                            Fordson N traktor. Benzin og Petroleum,s traktor. Det er en meget original traktor. Den har 6*19 og 13-24 dæk montering på. Vi har ikke haft den startet op, men da den blev sat ind gik den godt, og den skulle efter udsagn fra musseret sidst ha været i gang i 2021. Vi har købt 4stk Ford og Fordson,er traktorer samlet fra Damgaard Mølle og Veterantraktorsamling. Det kan ses på de sidste 2 billeder hvor vi afhændede dem på Møllen. Vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte. Se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us, then you can see the machine physically for yourself. If you wish, we will be happy to send a lot of pictures and video of it on Wats-App or email; Period of availability of spare parts :: N/A; Reference :: 8919103A; Make :: Fordson Major; Model :: N model; Status :: Used - Not indicated; Wear of rear tires :: N/A; ",https://www.agriaffaires.co.uk/used/farm-tractor/44158741/fordson-major-n-model.html,
Fordson Major Major Diesel traktor,"2,654",,,2654,EUR,€,,,,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/202087/44158742/44158742_1697772746_37.jpg?index,"Category :: Farm Tractors; Model :: Major Diesel traktor; Wear of front tires :: N/A; Period of availability of spare parts :: N/A; Comments :
                                                
                            Fordson Major diesel traktor. Den er starter op og går entligt godt, lige til at starte med røg den noget, men den har også stået stille i mange år. Det blev meget mindre da den havde gået lidt. Ellers er det en meget original og regulær Major. Den har 6*19 og 11-36 dæk montering på. Vi har købt 4stk Ford og Fordson,er traktorer samlet fra Damgaard Mølle og Veterantraktorsamling. Det kan ses på de sidste 2 billeder hvor vi afhændede dem på Møllen. Vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte. Se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us, then you can see the machine physically for yourself. If you wish, we will be happy to send a lot of pictures and video of it on Wats-App or email: Comments :
                                                
                            Fordson Major diesel traktor. Den er starter op og går entligt godt, lige til at starte med røg den noget, men den har også stået stille i mange år. Det blev meget mindre da den havde gået lidt. Ellers er det en meget original og regulær Major. Den har 6*19 og 11-36 dæk montering på. Vi har købt 4stk Ford og Fordson,er traktorer samlet fra Damgaard Mølle og Veterantraktorsamling. Det kan ses på de sidste 2 billeder hvor vi afhændede dem på Møllen. Vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte. Se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us, then you can see the machine physically for yourself. If you wish, we will be happy to send a lot of pictures and video of it on Wats-App or email; Type of ad :: For sale / Offers; Make :: Fordson Major; Status :: Used - Not indicated; Dimension of front tires :: 6*19 og 11-36; Wear of rear tires :: N/A; Price excl. VAT :: £

                            
                                    
                        ARS                    
                                    
                        AUD                    
                                    
                        BGN                    
                                    
                        BRL (R$)                    
                                    
                        CAD                    
                                    
                        CHF                    
                                    
                        CNY (¥)                    
                                    
                        CYP                    
                                    
                        CZK (Kč)                    
                                    
                        DKK                    
                                    
                        EEK                    
                                    
                        EUR (€)                    
                                    
                        GBP (£)                    
                                    
                        HKD                    
                                    
                        HRK                    
                                    
                        HUF                    
                                    
                        IDR                    
                                    
                        INR                    
                                    
                        ISK                    
                                    
                        JPY (¥)                    
                                    
                        KRW                    
                                    
                        LTL                    
                                    
                        LVL                    
                                    
                        MTL                    
                                    
                        MYR                    
                                    
                        NOK                    
                                    
                        NZD                    
                                    
                        PHP                    
                                    
                        PLN (zł)                    
                                    
                        RON (Lei)                    
                                    
                        RSD                    
                                    
                        RUB (p.)                    
                                    
                        SEK (kr)                    
                                    
                        SGD                    
                                    
                        SKK                    
                                    
                        THB                    
                                    
                        TRY                    
                                    
                        UAH                    
                                    
                        USD ($)                    
                                    
                        ZAR                    
                                
                                        
                    
                        Observe prices; ",https://www.agriaffaires.co.uk/used/farm-tractor/44158742/fordson-major-major-diesel-traktor.html,
Fordson Major Super Major Med trucktårn,"1,984",,,1984,EUR,€,,"60
                                                                                                    hp",,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/202087/44698339/44698339_1712747209_749.jpg?index,"Reference :: 8709034A; Make :: Fordson Major; Status :: Used - Not indicated; Wear of rear tires :: 40%; Period of availability of spare parts :: N/A; Price excl. VAT :: £

                            
                                    
                        ARS                    
                                    
                        AUD                    
                                    
                        BGN                    
                                    
                        BRL (R$)                    
                                    
                        CAD                    
                                    
                        CHF                    
                                    
                        CNY (¥)                    
                                    
                        CYP                    
                                    
                        CZK (Kč)                    
                                    
                        DKK                    
                                    
                        EEK                    
                                    
                        EUR (€)                    
                                    
                        GBP (£)                    
                                    
                        HKD                    
                                    
                        HRK                    
                                    
                        HUF                    
                                    
                        IDR                    
                                    
                        INR                    
                                    
                        ISK                    
                                    
                        JPY (¥)                    
                                    
                        KRW                    
                                    
                        LTL                    
                                    
                        LVL                    
                                    
                        MTL                    
                                    
                        MYR                    
                                    
                        NOK                    
                                    
                        NZD                    
                                    
                        PHP                    
                                    
                        PLN (zł)                    
                                    
                        RON (Lei)                    
                                    
                        RSD                    
                                    
                        RUB (p.)                    
                                    
                        SEK (kr)                    
                                    
                        SGD                    
                                    
                        SKK                    
                                    
                        THB                    
                                    
                        TRY                    
                                    
                        UAH                    
                                    
                        USD ($)                    
                                    
                        ZAR                    
                                
                                        
                    
                        Observe prices; Comments :
                                                
                            Fordson Super Major med fastmonteret trucktårn. Traktoren starter og kører men bagskærmene sidder lidt løse.  Vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte-Udlejning, se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us, then you can see the machine physically for yourself. If you wish, we will be happy to send a lot of pictures and video of it on Wats-App or email: Comments :
                                                
                            Fordson Super Major med fastmonteret trucktårn. Traktoren starter og kører men bagskærmene sidder lidt løse.  Vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte-Udlejning, se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us, then you can see the machine physically for yourself. If you wish, we will be happy to send a lot of pictures and video of it on Wats-App or email; Category :: Farm Tractors; Type of ad :: For sale / Offers; Model :: Super Major Med trucktårn; Power :: 60
                                    hp; Dimension of front tires :: 16,9-30 i bag og 7,50-16 i for; Wear of front tires :: 50%; ",https://www.agriaffaires.co.uk/used/farm-tractor/44698339/fordson-major-super-major-med-truckt-rn.html,
Fordson Major SUPER MAJOR,"3,226",,,3226,EUR,€,,,,,,,,//d1grzqaobpv15j.cloudfront.net/none/220-160/489905/44880229/44880229_1717800977_595.jpg?index,"Price excl. VAT :: £

                            
                                    
                        ARS                    
                                    
                        AUD                    
                                    
                        BGN                    
                                    
                        BRL (R$)                    
                                    
                        CAD                    
                                    
                        CHF                    
                                    
                        CNY (¥)                    
                                    
                        CYP                    
                                    
                        CZK (Kč)                    
                                    
                        DKK                    
                                    
                        EEK                    
                                    
                        EUR (€)                    
                                    
                        GBP (£)                    
                                    
                        HKD                    
                                    
                        HRK                    
                                    
                        HUF                    
                                    
                        IDR                    
                                    
                        INR                    
                                    
                        ISK                    
                                    
                        JPY (¥)                    
                                    
                        KRW                    
                                    
                        LTL                    
                                    
                        LVL                    
                                    
                        MTL                    
                                    
                        MYR                    
                                    
                        NOK                    
                                    
                        NZD                    
                                    
                        PHP                    
                                    
                        PLN (zł)                    
                                    
                        RON (Lei)                    
                                    
                        RSD                    
                                    
                        RUB (p.)                    
                                    
                        SEK (kr)                    
                                    
                        SGD                    
                                    
                        SKK                    
                                    
                        THB                    
                                    
                        TRY                    
                                    
                        UAH                    
                                    
                        USD ($)                    
                                    
                        ZAR                    
                                
                                        
                    
                        Observe prices; Category :: Farm Tractors; Reference :: 28095; Make :: Fordson Major; Wear of rear tires :: N/A; First-hand :: No; Status :: Used - Not indicated; Power :: 0
                                    hp; Wear of front tires :: N/A; Type of ad :: For sale / Offers; Hours :: 0
                                    h; Period of availability of spare parts :: N/A; Comments :
                                                
                            FORDSON SUPER MAJOR TRACTOR, 2WD, DIESEL, 69 HP, LOADER/BUCKET, NO PTO OR 3 PT, BACKHOE-24/12'' BUCKETS, MINOR HYDS LEAKS, STARTS AND OPERATES AS SHOULD!!
Drive : 2WD: Comments :
                                                
                            FORDSON SUPER MAJOR TRACTOR, 2WD, DIESEL, 69 HP, LOADER/BUCKET, NO PTO OR 3 PT, BACKHOE-24/12'' BUCKETS, MINOR HYDS LEAKS, STARTS AND OPERATES AS SHOULD!!
Drive : 2WD; Model :: SUPER MAJOR; ",https://www.agriaffaires.co.uk/used/farm-tractor/44880229/fordson-major-super-major.html,
